aqs id,Date_local,latitude_x,longitude_x,Avg temp Centrigrade,sunshine minutes,pm2.5_conc
01-073-0023,9/27/2019,33.553056,-86.815,28.8,,18.7625
01-073-0023,9/30/2019,33.553056,-86.815,29,,18.2625
01-073-0023,10/3/2019,33.553056,-86.815,30.4,,22.35
01-073-0023,10/6/2019,33.553056,-86.815,24.3,,9.645833
01-073-0023,10/9/2019,33.553056,-86.815,21.7,,10.391667
01-073-0023,10/12/2019,33.553056,-86.815,18.4,,4.845833
01-073-0023,10/15/2019,33.553056,-86.815,19.9,,8.670833
01-073-0023,10/18/2019,33.553056,-86.815,12.7,,7.7
01-073-0023,10/24/2019,33.553056,-86.815,14.9,,11.133333
01-073-0023,10/27/2019,33.553056,-86.815,15.9,,5.720833
01-073-0023,10/30/2019,33.553056,-86.815,21,,4.8375
01-073-0023,11/2/2019,33.553056,-86.815,7,,8.858333
01-073-0023,11/5/2019,33.553056,-86.815,15,,14.904167
01-073-0023,11/8/2019,33.553056,-86.815,8.8,,9.4625
01-073-0023,11/11/2019,33.553056,-86.815,12.6,,14.729167
01-073-0023,11/14/2019,33.553056,-86.815,5.4,,12.125
01-073-0023,11/17/2019,33.553056,-86.815,8.7,,17.4125
01-073-0023,11/20/2019,33.553056,-86.815,10.9,,13.041667
01-073-0023,11/23/2019,33.553056,-86.815,16.3,,6.595833
01-073-0023,11/26/2019,33.553056,-86.815,12.9,,11.125
01-073-0023,11/29/2019,33.553056,-86.815,12.3,,7.625
01-073-0023,12/2/2019,33.553056,-86.815,6,,3.258333
01-073-0023,12/5/2019,33.553056,-86.815,9.2,,17.091667
01-073-0023,12/8/2019,33.553056,-86.815,14.7,,16.141667
01-073-0023,12/11/2019,33.553056,-86.815,3.8,,6.766667
01-073-0023,12/14/2019,33.553056,-86.815,9.3,,10.825
01-073-0023,12/17/2019,33.553056,-86.815,10.7,,4.433333
01-073-0023,12/20/2019,33.553056,-86.815,6.2,,13.5
01-073-0023,12/23/2019,33.553056,-86.815,11.4,,2.591667
01-073-0023,12/26/2019,33.553056,-86.815,14.7,,8.8375
01-073-0023,12/29/2019,33.553056,-86.815,19.6,,4.679167
01-073-0023,1/4/2020,33.553056,-86.815,12.7,,5.341667
